the - used before a noun to refer to something specific | past: X | future: X | syn: this
be - to exist; to have a particular quality or state | past: was/were | future: will be | syn: exist
of - belonging to; made from; connected with | past: X | future: X | syn: from
and - used to join words, phrases, or clauses together | past: X | future: X | syn: plus
a - used before a singular noun to refer to any one thing | past: X | future: X | syn: an
to - shows direction, purpose, or relationship between things | past: X | future: X | syn: toward
in - inside or within a place, time, or condition | past: X | future: X | syn: inside
he - pronoun referring to a male person or animal | past: X | future: X | syn: him
have - to possess or own; to experience something | past: had | future: will have | syn: own
it - refers to a thing, idea, animal, or situation | past: X | future: X | syn: this
that - used to identify a specific thing or introduce a clause | past: X | future: X | syn: which
for - used to show purpose, reason, or intended recipient | past: X | future: X | syn: because
they - pronoun referring to a group of people or things | past: X | future: X | syn: them
I - pronoun used by a speaker to refer to themselves | past: X | future: X | syn: me
with - indicating accompaniment, means, or manner | past: X | future: X | syn: alongside
as - used to indicate function, comparison, or time | past: X | future: X | syn: like
not - used to express negation or denial | past: X | future: X | syn: never
on - indicating position above a surface or about a topic | past: X | future: X | syn: upon
she - pronoun referring to a female person or animal | past: X | future: X | syn: her
at - indicating location, time, or direction toward | past: X | future: X | syn: in
by - indicating who did something or nearness to something | past: X | future: X | syn: near
this - used to refer to something close or just mentioned | past: X | future: X | syn: that
we - pronoun referring to the speaker and others together | past: X | future: X | syn: us
you - pronoun referring to the person being addressed | past: X | future: X | syn: thou
do - to perform or carry out an action | past: did | future: will do | syn: perform
but - used to introduce a contrast or exception | past: X | future: X | syn: however
from - indicating origin, starting point, or source | past: X | future: X | syn: out of
or - used to connect alternatives or choices | past: X | future: X | syn: either
which - used to ask about or identify a specific thing | past: X | future: X | syn: that
one - the number 1; a single person or thing | past: X | future: X | syn: single
would - used to express a conditional or polite request | past: X | future: X | syn: could
all - referring to the whole amount or every one | past: X | future: X | syn: every
will - used to express future intention or determination | past: would | future: X | syn: shall
there - in, at, or to that place; used to introduce a subject | past: X | future: X | syn: yonder
say - to speak or express something in words | past: said | future: will say | syn: tell
who - used to ask about or refer to a person | past: X | future: X | syn: whom
make - to create, produce, or cause something | past: made | future: will make | syn: create
when - at what time; at the time that | past: X | future: X | syn: while
can - to be able to do something | past: could | future: X | syn: able to
more - a greater amount or degree of something | past: X | future: X | syn: additional
if - conjunction used to introduce a conditional clause | past: X | future: X | syn: whether
no - used to express refusal or denial | past: X | future: X | syn: not
man - an adult male human being | past: manned | future: will man | syn: male
out - away from the inside; not at home | past: X | future: X | syn: outside
other - different from the one already mentioned | past: X | future: X | syn: different
so - to a great extent; therefore | past: X | future: X | syn: therefore
what - asking for information about something | past: X | future: X | syn: which
